ID,Type,l,w,r,B,H,nmin,nmax,TC
1,5,57.0,11.0,12,75,44,2,3,28
2,2,87.0,15.0,30,375,87,3,5,28
3,3,58.0,11.0,33,375,109,2,3,23
4,1,66.0,12.0,40,375,82,3,5,29
5,4,130.0,16,42,225,26,4,7,21
6,3,64.0,12.0,47,225,16,3,5,26
7,3,92.0,16,56,225,110,4,7,23
8,4,86.0,14.0,61,375,99,3,5,30
9,5,71.0,12.0,66,75,54,3,5,26
10,1,47.0,9.0,97,75,90,2,3,29
11,1,62.0,11.0,98,75,79,3,5,27
12,2,40.0,8.0,100,75,40,2,3,22
13,2,76.0,13.0,103,225,105,3,5,28
14,4,110.0,13.0,127,375,107,4,7,24
15,3,75.0,14.0,147,375,31,3,5,30
16,5,60.0,10.0,169,375,31,2,3,25
17,2,71.0,12.0,171,375,99,3,5,27
18,4,60.0,11.0,192,375,35,2,3,30
19,3,76.0,13.0,195,225,64,3,5,28
20,4,64.0,12.0,198,375,18,3,5,22
21,4,50.0,9.0,235,75,88,2,3,28
22,3,125.0,16,236,75,18,4,7,27
23,1,60.0,11.0,244,375,15,2,3,28
24,5,67.0,12.0,248,75,25,3,5,29
25,1,92.0,16,249,375,26,4,7,30
26,4,66.0,13.0,249,225,120,3,5,21
27,5,54.0,10.0,253,225,106,2,3,29
28,2,50.0,9.0,256,75,107,2,3,20
29,2,90.0,16,262,375,67,3,5,21
30,1,41.0,7.0,284,75,14,2,3,30
31,5,67.0,12.0,286,375,44,3,5,22
32,1,81.0,13.0,287,75,77,3,5,25
33,2,90.0,16,308,375,35,3,5,27
34,4,62.0,12.0,323,375,61,3,5,23
35,1,40.0,8.0,332,225,15,2,3,25
36,5,60.0,11.0,351,75,37,2,3,28
37,3,65.0,10.0,360,375,96,3,5,30
38,3,62.0,13.0,391,75,62,3,5,24
39,5,45.0,11.0,395,375,42,2,3,26
40,1,70.0,12.0,398,75,43,3,5,27
41,1,78.0,14.0,413,375,24,3,5,29
42,3,60.0,12.0,418,225,79,2,3,30
43,3,67.0,11.0,454,225,43,3,5,20
44,2,80.0,14.0,455,75,82,3,5,27
45,5,67.0,11.0,471,225,22,3,5,26
46,5,87.0,15.0,472,225,77,3,5,27
47,2,80.0,13.0,478,75,94,3,5,21
48,3,66.0,11.0,479,225,65,3,5,24
49,2,87.0,15.0,481,225,35,3,5,22
50,4,87.0,14.0,491,225,88,3,5,20
