ID,Type,l,w,r,B,H,nmin,nmax,TC
1,2,57,11,4,75,50,2,3,25
2,3,87,15,4,375,77,3,5,23
3,3,58,11,26,75,75,2,3,26
4,1,66,12,34,375,19,3,5,20
5,2,130,16,58,225,37,4,7,20
6,5,64,12,68,75,114,3,5,30
7,1,92,16,93,225,99,4,7,27
8,3,86,14,101,375,16,3,5,25
9,5,71,12,101,225,77,3,5,23
10,4,47,9,101,375,43,2,3,22
11,2,62,11,102,375,115,3,5,21
12,5,40,8,102,75,38,2,3,21
13,3,76,13,114,375,71,3,5,25
14,5,110,13,125,75,88,4,7,23
15,1,75,14,146,75,119,3,5,30
16,2,60,10,172,75,41,2,3,28
17,4,71,12,185,225,75,3,5,25
18,4,60,11,192,75,39,2,3,22
19,1,76,13,194,375,89,3,5,23
20,3,64,12,204,225,14,3,5,25
