ID,Type,l,w,r,B,H,nmin,nmax,TC
1,4,57.0,11.0,41,75,18,2,3,24
2,3,87.0,15.0,71,225,80,3,5,22
3,2,58.0,11.0,150,225,118,2,3,26
4,2,66.0,12.0,184,225,25,3,5,21
5,4,130.0,16,279,75,23,4,7,25
6,5,64.0,12.0,311,75,111,3,5,24
7,3,92.0,16,335,375,18,4,7,21
8,1,86.0,14.0,670,225,69,3,5,28
9,5,71.0,12.0,673,225,42,3,5,22
10,3,47.0,9.0,753,225,117,2,3,28
11,1,62.0,11.0,787,225,55,3,5,21
12,5,40.0,8.0,794,375,13,2,3,20
13,5,76.0,13.0,809,75,111,3,5,27
14,2,110.0,13.0,839,375,62,4,7,25
15,5,75.0,14.0,846,375,12,3,5,24
16,3,60.0,10.0,854,225,73,2,3,29
17,2,71.0,12.0,858,75,52,3,5,21
18,1,60.0,11.0,865,225,18,2,3,20
19,3,76.0,13.0,881,75,12,3,5,26
20,1,64.0,12.0,886,225,20,3,5,30
21,4,50.0,9.0,916,75,36,2,3,30
22,2,125.0,16,920,75,45,4,7,26
23,4,60.0,11.0,925,75,14,2,3,20
24,5,67.0,12.0,952,75,67,3,5,27
25,4,92.0,16,1012,225,85,4,7,26
26,3,66.0,13.0,1012,225,23,3,5,24
27,3,54.0,10.0,1017,375,116,2,3,25
28,4,50.0,9.0,1019,225,87,2,3,26
29,4,90.0,16,1027,225,11,3,5,30
30,2,41.0,7.0,1147,375,48,2,3,26
31,1,67.0,12.0,1161,75,54,3,5,30
32,2,81.0,13.0,1171,225,73,3,5,22
33,5,90.0,16,1188,75,109,3,5,22
34,2,62.0,12.0,1192,75,11,3,5,29
35,1,40.0,8.0,1206,375,26,2,3,24
36,3,60.0,11.0,1216,75,108,2,3,22
37,5,65.0,10.0,1248,75,82,3,5,25
38,5,62.0,13.0,1249,75,92,3,5,26
39,3,45.0,11.0,1416,375,70,2,3,22
40,2,70.0,12.0,1422,225,22,3,5,21
41,5,78.0,14.0,1461,75,115,3,5,22
42,2,60.0,12.0,1499,75,88,2,3,25
43,1,67.0,11.0,1503,75,29,3,5,25
44,2,80.0,14.0,1526,225,29,3,5,30
45,4,67.0,11.0,1531,375,117,3,5,21
46,3,87.0,15.0,1552,75,80,3,5,27
47,3,80.0,13.0,1554,225,13,3,5,29
48,3,66.0,11.0,1596,225,95,3,5,24
49,4,87.0,15.0,1615,75,33,3,5,30
50,1,87.0,14.0,1633,75,114,3,5,20
51,1,75.0,15.0,1683,225,83,3,5,22
52,4,62.0,11.0,1701,75,70,3,5,24
53,2,53.0,10.0,1748,375,39,2,3,27
54,1,75.0,14.0,1764,225,14,3,5,20
55,5,56.0,10.0,1787,75,116,2,3,20
56,5,51.0,10.0,1829,375,40,2,3,27
57,1,90.0,16,1837,375,86,3,5,20
58,4,40.0,8.0,1854,375,57,2,3,22
59,1,66.0,12.0,1865,225,10,3,5,30
60,3,71.0,12.0,1876,375,114,3,5,26
