ID,Type,l,w,r,B,H,nmin,nmax,TC
1,2,57.0,11.0,8,375,44,2,3,22
2,1,87.0,15.0,29,75,23,3,5,23
3,5,58.0,11.0,105,225,28,2,3,27
4,3,66.0,12.0,147,375,46,3,5,30
5,4,130.0,16,160,375,97,4,7,26
6,2,64.0,12.0,273,225,65,3,5,27
7,3,92.0,16,274,75,98,4,7,20
8,5,86.0,14.0,283,75,29,3,5,27
9,4,71.0,12.0,330,225,54,3,5,27
10,4,47.0,9.0,379,225,102,2,3,24
11,2,62.0,11.0,383,75,57,3,5,20
12,2,40.0,8.0,386,375,118,2,3,22
13,5,76.0,13.0,392,225,107,3,5,28
14,4,110.0,13.0,400,375,72,4,7,24
15,3,75.0,14.0,483,225,81,3,5,20
16,1,60.0,10.0,521,375,35,2,3,25
17,4,71.0,12.0,568,225,10,3,5,26
18,1,60.0,11.0,578,375,44,2,3,29
19,3,76.0,13.0,646,375,79,3,5,27
20,1,64.0,12.0,654,75,33,3,5,29
21,4,50.0,9.0,674,75,103,2,3,24
22,5,125.0,16,700,75,112,4,7,28
23,5,60.0,11.0,727,225,35,2,3,28
24,3,67.0,12.0,769,75,51,3,5,26
25,3,92.0,16,778,375,101,4,7,26
26,4,66.0,13.0,818,225,25,3,5,26
27,2,54.0,10.0,845,225,60,2,3,22
28,1,50.0,9.0,855,75,105,2,3,29
29,3,90.0,16,857,75,24,3,5,24
30,4,41.0,7.0,881,375,54,2,3,21
31,1,67.0,12.0,883,225,22,3,5,25
32,5,81.0,13.0,926,375,14,3,5,29
33,5,90.0,16,1014,225,66,3,5,23
34,1,62.0,12.0,1020,225,93,3,5,22
35,2,40.0,8.0,1034,375,94,2,3,23
36,3,60.0,11.0,1108,75,47,2,3,29
37,4,65.0,10.0,1145,75,89,3,5,20
38,2,62.0,13.0,1156,225,116,3,5,20
39,1,45.0,11.0,1220,225,59,2,3,23
40,2,70.0,12.0,1307,225,119,3,5,23
41,3,78.0,14.0,1320,225,104,3,5,25
42,5,60.0,12.0,1432,75,101,2,3,30
43,2,67.0,11.0,1449,225,25,3,5,28
44,5,80.0,14.0,1464,375,108,3,5,20
45,1,67.0,11.0,1584,75,39,3,5,26
46,3,87.0,15.0,1606,225,23,3,5,21
47,2,80.0,13.0,1609,225,44,3,5,28
48,1,66.0,11.0,1627,75,83,3,5,22
49,5,87.0,15.0,1637,75,23,3,5,29
50,3,87.0,14.0,1680,75,117,3,5,29
