ID,Type,l,w,r,B,H,nmin,nmax,TC
1,4,57.0,11.0,0,375,41,2,3,25
2,3,87.0,15.0,7,75,98,3,5,20
3,3,58.0,11.0,14,225,30,2,3,23
4,2,66.0,12.0,31,375,83,3,5,29
5,2,130.0,16,64,375,52,4,7,30
6,1,64.0,12.0,67,375,34,3,5,27
7,4,92.0,16,69,75,114,4,7,27
8,4,86.0,14.0,94,225,24,3,5,29
9,2,71.0,12.0,126,375,17,3,5,21
10,4,47.0,9.0,143,75,106,2,3,27
11,5,62.0,11.0,147,75,120,3,5,21
12,4,40.0,8.0,162,225,63,2,3,22
13,4,76.0,13.0,176,75,111,3,5,22
14,2,110.0,13.0,177,375,60,4,7,25
15,2,75.0,14.0,183,375,77,3,5,28
16,5,60.0,10.0,185,375,31,2,3,22
17,5,71.0,12.0,190,75,42,3,5,21
18,3,60.0,11.0,190,225,55,2,3,29
19,1,76.0,13.0,203,75,29,3,5,21
20,5,64.0,12.0,209,75,45,3,5,27
21,2,50.0,9.0,215,75,52,2,3,26
22,1,125.0,16,235,225,106,4,7,22
23,3,60.0,11.0,236,375,51,2,3,22
24,1,67.0,12.0,237,75,113,3,5,25
25,5,92.0,16,279,225,52,4,7,30
26,3,66.0,13.0,283,375,112,3,5,24
27,2,54.0,10.0,309,375,95,2,3,25
28,5,50.0,9.0,317,375,20,2,3,22
29,4,90.0,16,320,375,20,3,5,29
30,3,41.0,7.0,326,375,15,2,3,29
31,3,67.0,12.0,328,75,74,3,5,27
32,2,81.0,13.0,344,375,102,3,5,30
33,3,90.0,16,380,75,26,3,5,22
34,1,62.0,12.0,381,225,80,3,5,25
35,1,40.0,8.0,385,75,88,2,3,26
36,2,60.0,11.0,414,375,43,2,3,22
37,3,65.0,10.0,416,75,28,3,5,22
38,1,62.0,13.0,441,75,59,3,5,26
39,3,45.0,11.0,461,375,39,2,3,23
40,2,70.0,12.0,467,375,69,3,5,27
41,1,78.0,14.0,469,375,12,3,5,28
42,3,60.0,12.0,473,75,63,2,3,27
43,4,67.0,11.0,480,75,96,3,5,27
44,2,80.0,14.0,494,75,23,3,5,27
45,5,67.0,11.0,507,375,117,3,5,26
46,2,87.0,15.0,510,375,49,3,5,23
47,1,80.0,13.0,536,75,82,3,5,22
48,4,66.0,11.0,536,375,71,3,5,26
49,5,87.0,15.0,537,75,47,3,5,23
50,4,87.0,14.0,540,75,46,3,5,22
51,5,75.0,15.0,570,225,89,3,5,28
52,3,62.0,11.0,574,225,94,3,5,23
53,3,53.0,10.0,585,375,120,2,3,24
54,4,75.0,14.0,593,375,49,3,5,27
55,5,56.0,10.0,596,225,110,2,3,23
56,5,51.0,10.0,596,375,106,2,3,21
57,1,90.0,16,602,375,87,3,5,26
58,1,40.0,8.0,622,375,87,2,3,27
59,1,66.0,12.0,651,225,42,3,5,25
60,5,71.0,12.0,683,75,43,3,5,24
