ID,Type,l,w,r,B,H,nmin,nmax,TC
1,4,57.0,11.0,15,225,85,2,3,25
2,2,87.0,15.0,26,225,74,3,5,26
3,4,58.0,11.0,55,225,37,2,3,27
4,2,66.0,12.0,58,375,96,3,5,21
5,1,130.0,16,88,225,74,4,7,29
6,5,64.0,12.0,93,375,63,3,5,25
7,1,92.0,16,117,375,31,4,7,21
8,3,86.0,14.0,124,75,86,3,5,25
9,5,71.0,12.0,221,225,14,3,5,22
10,3,47.0,9.0,226,225,10,2,3,22
11,3,62.0,11.0,300,75,17,3,5,26
12,2,40.0,8.0,344,225,89,2,3,21
13,1,76.0,13.0,384,75,71,3,5,24
14,3,110.0,13.0,485,225,79,4,7,26
15,5,75.0,14.0,518,375,71,3,5,21
