ID,Type,l,w,r,B,H,nmin,nmax,TC
1,3,57,11,36,75,90,2,3,26
2,5,87,15,40,225,55,3,5,21
3,1,58,11,54,75,53,2,3,27
4,4,66,12,120,375,64,3,5,29
5,2,130,16,121,375,106,4,7,27
6,3,64,12,134,225,74,3,5,20
7,2,92,16,161,375,11,4,7,24
8,1,86,14,228,375,35,3,5,27
9,4,71,12,281,225,53,3,5,20
10,3,47,9,292,225,54,2,3,25
11,2,62,11,331,75,44,3,5,21
12,1,40,8,347,375,59,2,3,29
13,4,76,13,358,75,22,3,5,23
14,2,110,13,372,225,90,4,7,28
15,5,75,14,415,375,77,3,5,28
16,1,60,10,438,225,104,2,3,27
17,3,71,12,485,75,72,3,5,22
18,1,60,11,516,225,77,2,3,21
19,4,76,13,535,75,64,3,5,21
20,4,64,12,563,75,49,3,5,30
21,5,50,9,576,75,18,2,3,25
22,2,125,16,617,225,85,4,7,25
23,5,60,11,657,375,96,2,3,23
24,5,67,12,671,375,87,3,5,23
25,1,92,16,691,225,82,4,7,25
26,3,66,13,694,225,18,3,5,20
27,5,54,10,704,75,107,2,3,22
28,2,50,9,795,375,57,2,3,30
29,5,90,16,808,375,85,3,5,25
30,3,41,7,825,375,40,2,3,25
