ID,Type,l,w,r,B,H,nmin,nmax,TC
1,3,57.0,11.0,36,75,90,2,3,26
2,5,87.0,15.0,40,225,55,3,5,21
3,1,58.0,11.0,54,75,53,2,3,27
4,4,66.0,12.0,120,375,64,3,5,29
5,2,130.0,16,121,375,106,4,7,27
6,3,64.0,12.0,134,225,74,3,5,20
7,2,92.0,16,161,375,11,4,7,24
8,1,86.0,14.0,228,375,35,3,5,27
9,4,71.0,12.0,281,225,53,3,5,20
10,3,47.0,9.0,292,225,54,2,3,25
11,2,62.0,11.0,331,75,44,3,5,21
12,1,40.0,8.0,347,375,59,2,3,29
13,4,76.0,13.0,358,75,22,3,5,23
14,2,110.0,13.0,372,225,90,4,7,28
15,5,75.0,14.0,415,375,77,3,5,28
16,1,60.0,10.0,438,225,104,2,3,27
17,3,71.0,12.0,485,75,72,3,5,22
18,1,60.0,11.0,516,225,77,2,3,21
19,4,76.0,13.0,535,75,64,3,5,21
20,4,64.0,12.0,563,75,49,3,5,30
21,5,50.0,9.0,576,75,18,2,3,25
22,2,125.0,16,617,225,85,4,7,25
23,5,60.0,11.0,657,375,96,2,3,23
24,5,67.0,12.0,671,375,87,3,5,23
25,1,92.0,16,691,225,82,4,7,25
26,3,66.0,13.0,694,225,18,3,5,20
27,5,54.0,10.0,704,75,107,2,3,22
28,2,50.0,9.0,795,375,57,2,3,30
29,5,90.0,16,808,375,85,3,5,25
30,3,41.0,7.0,825,375,40,2,3,25
31,1,67.0,12.0,910,75,101,3,5,27
32,1,81.0,13.0,943,225,120,3,5,29
33,3,90.0,16,1034,75,74,3,5,25
34,3,62.0,12.0,1043,225,61,3,5,25
35,4,40.0,8.0,1123,375,55,2,3,25
36,3,60.0,11.0,1137,75,31,2,3,22
37,2,65.0,10.0,1168,225,24,3,5,24
38,2,62.0,13.0,1184,375,65,3,5,25
39,5,45.0,11.0,1192,375,100,2,3,30
40,4,70.0,12.0,1209,375,94,3,5,25
